ID,Name,Source,Description,Donor_ID,Recipient_ID,Macroarea,Count_Borrowed
67,Sicilian affixes in Maltese,borg1994a;borg1997a;brincat2015a;drewes1994a;gardani2008a;saade2020a,67-md,sicilianscn,maltesemlt,Eurasia,8
68,Sadri affixes in Kharia,abbi1995a;abbi1997a;abbi2001a;peterson2011a,68-md,sadrisck,khariakhr,Eurasia,2
70,Estonian affixes in Ingrian Finnish,riionheimo2002a;riionheimo2010a,70-md,estonianekk,ingrianfinnishfin,Eurasia,2
72,Swahili affixes in Malagasy,adelaar2005a;adelaar2009a;adelaar2010a;adelaar2012a,72-md,swahiliswh,malagasyplt,Africa,2
73,Banjar Malay affixes in Malagasy,adelaar1995a;adelaar2010a;adelaar2012a,73-md,banjarmalaybjn,malagasyplt,Africa,4
75,intermediate Proto-Carib affixes in Proto Wayampi-Emerillon-Zo’é,rose2012a,75-md,intermediateprotocaribcar,protowayampiemerillonzoeeme,South America,1
77,English affixes in Hawaiian,parker2009a,77-md,englisheng,hawaiianhaw,Papunesia,1
78,Russian affixes in Kola Saami,blokland2011a;maegiste1968a;post2006a;riessler2007a;riessler2009a,78-md,russianrus,kolasaamisjd,Eurasia,5
82,Turkish affixes in Kurmanji,haig2007a;matras2007a,82-md,turkishtur,kurmanjikmr,Eurasia,1
83,Nepali affixes in Manange,hildebrandt2004a;hildebrandt2007a,83-md,nepalinep,manangenmm,Eurasia,1
85,Russian affixes in Yiddish,reershemius2007a;weinreich1958a,85-md,russianrus,yiddishydd,Eurasia,13
87,Bulgarian affixes in Megleno-Romanian,capidan1925a;capidan1940a;friedman2012a;gardani2008a;gardani2015a;kova1971a;pu1905a;pu1943a;sandfeld1938a;weinreich1953a,87-md,bulgarianbul,meglenoromanianruq,Eurasia,34
88,Greek affixes in Arvanitic Albanian,altimari2011a;sasse1985a;sasse1991a,88-md,greekell,arvaniticalbanianaat,Eurasia,32
92,Russian affixes in Lithuanian Romani,tenser2005a,92-md,russianrus,lithuanianromanirml,Eurasia,6
93,Spanish affixes in Sierra Popoluca,morales2005a;morales2008a,93-md,spanishspa,sierrapopolucapoi,South America,1
94,Makrān Baluchi affixes in Brahui,andronov1980a;elfenbein1998a;emeneau1962a,94-md,makranbaluchibcc,brahuibrh,Eurasia,3
95,Malay affixes in Semelai,gardani2021a;kruspe2004a,95-md,malayzsm,semelaisza,Eurasia,8
96,Indonesian affixes in Tukang Besi,donohue1999a,96-md,indonesianind,tukangbesikhc,Papunesia,1
98,Persian affixes in Lezgian,haspelmath1993a,98-md,persianpes,lezgianlez,Eurasia,3
100,Chukchi affixes in Central Siberian Yupik Eskimo,miyaoka2012a;reuse1994a,100-md,chukchickt,centralsiberianyupikeskimoess,North America,3
101,Karrwa affixes in Kayardild,,101-md,karrwagbc,kayardildgyd,Australia,1
102,Hindi affixes in Kurux,abbi1995b;abbi1997a;gardani2012a;mishra1996a,102-md,hindihin,kuruxkru,Eurasia,8
107,Persian affixes in Turkish,goeksel2005a;kornfilt1997a;kubiyak2004a;memoglu_sueleymanoglu2006a;ni2009a;vietze1975a;zengin2009a,107-md,persianpes,turkishtur,Eurasia,7
108,Persian affixes in Azari,dehghani2000a,108-md,persianpes,azariazb,Eurasia,10
109,Persian affixes in Kashmiri,bhat1987a;koul2005a;wali1996a,109-md,persianpes,kashmirikas,Eurasia,13
110,Komi-Zyrian affixes in Khanty,maegiste1968a;sauer1963a;sauer1967a,110-md,komizyriankpv,khantykca,Eurasia,15
111,Swedish affixes in Finnish,maegiste1968a,111-md,swedishswe,finnishfin,Eurasia,3
112,"Yucuna and Cabiyarí affixes in Carapana, Tatuyo, Wáimaja, and Yurutí",metzger1998a,112-md,yucunaandcabiyariycn,carapanatatuyowaimajaandyurutitav,South America,1
113,Latin affixes in Basque,eliasson2012a;haase1992a;hualde2003;hualde2003a;hualde2003b;mujika1982a;mungu1996a;trask1995a;trask2003a,113-md,latinlat,basqueeus,Eurasia,36
114,Moroccan Berber languages affixes in Moroccan Arabic,zellou2011a,114-md,moroccanberberlanguagestzm,moroccanarabicary,Africa,1
116,Tibetan affixes in Wutun,janhunen2008a;lee_smith1996b;li1984a;slater2003a,116-md,tibetanbod,wutunwuh,Eurasia,7
117,Aymara affixes in Quechua de Puno,adelaar1987a;adelaar1996a;hannss2008a,117-md,aymaraayr,quechuadepunoqxp,South America,9
118,Santa affixes in Chinese of Línxìa/Hézōu,dwyer1992a;lee_smith1996a;li1984a;slater2003a,118-md,santasce,chineseoflinxiahezoucmn,Eurasia,1
119,Turkish affixes in Judeo-Spanish,varol_bornes2008a,119-md,turkishtur,judeospanishlad,Eurasia,6
124,Russian affixes in Karelian,alvre2002a;laanest1982a;raun1964a,124-md,russianrus,kareliankrl,Eurasia,6
125,Eastern Tucanoan languages affixes in Tariana,aikhenvald1999a;aikhenvald2003a;aikhenvald2012a,125-md,easterntucanoanlanguagestuo,tarianatae,North America,3
126,Greek affixes in Kalderash Romani,boretzky1991a;boretzky1994a,126-md,greekell,kalderashromanirmy,Eurasia,5
127,Spanish affixes in Cho’ol,duerr2012a;knowles1984a;lvarez2011a,127-md,spanishspa,choolchf,North America,3
