ID,Name,Description,Media_Type,Download_URL,Path_In_Zip,Format
87-md,,Comments on Bulgarian affixes in Megleno-Romanian,text/markdown,comments/87.md,,CLDF Markdown
88-md,,Comments on Greek affixes in Arvanitic Albanian,text/markdown,comments/88.md,,CLDF Markdown
92-md,,Comments on Russian affixes in Lithuanian Romani,text/markdown,comments/92.md,,CLDF Markdown
93-md,,Comments on Spanish affixes in Sierra Popoluca,text/markdown,comments/93.md,,CLDF Markdown
94-md,,Comments on Makrān Baluchi affixes in Brahui,text/markdown,comments/94.md,,CLDF Markdown
95-md,,Comments on Malay affixes in Semelai,text/markdown,comments/95.md,,CLDF Markdown
96-md,,Comments on Indonesian affixes in Tukang Besi,text/markdown,comments/96.md,,CLDF Markdown
98-md,,Comments on Persian affixes in Lezgian,text/markdown,comments/98.md,,CLDF Markdown
100-md,,Comments on Chukchi affixes in Central Siberian Yupik Eskimo,text/markdown,comments/100.md,,CLDF Markdown
101-md,,Comments on Karrwa affixes in Kayardild,text/markdown,comments/101.md,,CLDF Markdown
102-md,,Comments on Hindi affixes in Kurux,text/markdown,comments/102.md,,CLDF Markdown
107-md,,Comments on Persian affixes in Turkish,text/markdown,comments/107.md,,CLDF Markdown
108-md,,Comments on Persian affixes in Azari,text/markdown,comments/108.md,,CLDF Markdown
109-md,,Comments on Persian affixes in Kashmiri,text/markdown,comments/109.md,,CLDF Markdown
110-md,,Comments on Komi-Zyrian affixes in Khanty,text/markdown,comments/110.md,,CLDF Markdown
111-md,,Comments on Swedish affixes in Finnish,text/markdown,comments/111.md,,CLDF Markdown
112-md,,"Comments on Yucuna and Cabiyarí affixes in Carapana, Tatuyo, Wáimaja, and Yurutí",text/markdown,comments/112.md,,CLDF Markdown
113-md,,Comments on Latin affixes in Basque,text/markdown,comments/113.md,,CLDF Markdown
114-md,,Comments on Moroccan Berber languages affixes in Moroccan Arabic,text/markdown,comments/114.md,,CLDF Markdown
116-md,,Comments on Tibetan affixes in Wutun,text/markdown,comments/116.md,,CLDF Markdown
117-md,,Comments on Aymara affixes in Quechua de Puno,text/markdown,comments/117.md,,CLDF Markdown
118-md,,Comments on Santa affixes in Chinese of Línxìa/Hézōu,text/markdown,comments/118.md,,CLDF Markdown
119-md,,Comments on Turkish affixes in Judeo-Spanish,text/markdown,comments/119.md,,CLDF Markdown
124-md,,Comments on Russian affixes in Karelian,text/markdown,comments/124.md,,CLDF Markdown
125-md,,Comments on Eastern Tucanoan languages affixes in Tariana,text/markdown,comments/125.md,,CLDF Markdown
126-md,,Comments on Greek affixes in Kalderash Romani,text/markdown,comments/126.md,,CLDF Markdown
127-md,,Comments on Spanish affixes in Cho’ol,text/markdown,comments/127.md,,CLDF Markdown
128-md,,Comments on Zoquean languages affixes in Cho’ol,text/markdown,comments/128.md,,CLDF Markdown
130-md,,Comments on Arabic affixes in Western Neo-Aramaic of Ma’lūla,text/markdown,comments/130.md,,CLDF Markdown
132-md,,Comments on Tibeto-Burman languages affixes in Assamese,text/markdown,comments/132.md,,CLDF Markdown
133-md,,Comments on Portuguese affixes in Tetun Dili,text/markdown,comments/133.md,,CLDF Markdown
134-md,,Comments on Spanish affixes in Purepecha/Tarascan,text/markdown,comments/134.md,,CLDF Markdown
135-md,,Comments on Spanish affixes in Mexicanero de la Sierra Madre Occidental,text/markdown,comments/135.md,,CLDF Markdown
136-md,,Comments on Spanish affixes in Yucatec Maya,text/markdown,comments/136.md,,CLDF Markdown
138-md,,Comments on Turkish affixes in Iraqi Arabic,text/markdown,comments/138.md,,CLDF Markdown
139-md,,Comments on Quapaw affixes in Alabama and Choctaw-Chickasaw,text/markdown,comments/139.md,,CLDF Markdown
140-md,,Comments on Hindi affixes in Kharia,text/markdown,comments/140.md,,CLDF Markdown
142-md,,Comments on Latvian affixes in German,text/markdown,comments/142.md,,CLDF Markdown
143-md,,Comments on Quechua affixes in Amuesha,text/markdown,comments/143.md,,CLDF Markdown
144-md,,Comments on Tajik affixes in Moghol,text/markdown,comments/144.md,,CLDF Markdown
145-md,,Comments on Chinese affixes in Dagur,text/markdown,comments/145.md,,CLDF Markdown
146-md,,Comments on Croatian affixes in Hungarian,text/markdown,comments/146.md,,CLDF Markdown
147-md,,Comments on Evenki affixes in Dagur,text/markdown,comments/147.md,,CLDF Markdown
148-md,,Comments on Chinese affixes in Santa,text/markdown,comments/148.md,,CLDF Markdown
149-md,,Comments on Turkic affixes in Middle Mongolic,text/markdown,comments/149.md,,CLDF Markdown
150-md,,Comments on Lingala affixes in Ndunga-le,text/markdown,comments/150.md,,CLDF Markdown
