ID,Language_ID,Parameter_ID,Value,Pair_ID
26-possessorindexing,garifuna,possessorindexing,1,26
27-comparative,mari,comparative,1,27
27-adjectivizermiscellaneous,mari,adjectivizermiscellaneous,1,27
27-casenonlocativeperipheralcase,mari,casenonlocativeperipheralcase,4,27
27-definiteindefinite,mari,definiteindefinite,1,27
27-nominalizerabstract,mari,nominalizerabstract,1,27
27-numeralderivationordinals,mari,numeralderivationordinals,1,27
27-valencycausative,mari,valencycausative,1,27
27-valencyreflexive,mari,valencyreflexive,1,27
27-verbaltam,mari,verbaltam,1,27
28-casenonlocativeperipheralcase,chantyal,casenonlocativeperipheralcase,4,28
28-relativizersubordinator,chantyal,relativizersubordinator,2,28
29-casenonlocativeperipheralcase,ritharngu,casenonlocativeperipheralcase,1,29
29-numberdual,ritharngu,numberdual,1,29
29-nominalderivationmiscellaneous,ritharngu,nominalderivationmiscellaneous,1,29
29-verbalnegation,ritharngu,verbalnegation,1,29
31-nominalizersocialgroup,guinaangbontok,nominalizersocialgroup,1,31
31-verbaltam,guinaangbontok,verbaltam,2,31
33-comparative,sonqorturkic,comparative,1,33
33-clauseleveltam,sonqorturkic,clauseleveltam,1,33
33-definiteindefinite,sonqorturkic,definiteindefinite,1,33
33-subjectobjectindexing,sonqorturkic,subjectobjectindexing,2,33
34-casedative,ngandi,casedative,1,34
34-caseergative,ngandi,caseergative,1,34
37-nounclassinanimate,istroromanian,nounclassinanimate,2,37
37-verbaltam,istroromanian,verbaltam,7,37
39-numeralandquantifierderivation,koasati,numeralandquantifierderivation,1,39
40-numberplural,hasankeyfarabic,numberplural,1,40
40-verbaltam,hasankeyfarabic,verbaltam,1,40
41-verbaltam,srilankaportuguese,verbaltam,1,41
41-relativizersubordinator,srilankaportuguese,relativizersubordinator,1,41
42-adjectivizermiscellaneous,kayardild,adjectivizermiscellaneous,1,42
46-adjectivizermiscellaneous,indonesianstandard,adjectivizermiscellaneous,1,46
67-adjectivizermiscellaneous,maltese,adjectivizermiscellaneous,1,67
67-augmentative,maltese,augmentative,1,67
67-nominalizeragent,maltese,nominalizeragent,1,67
67-nominalizerabstract,maltese,nominalizerabstract,1,67
67-nominalizersocialgroup,maltese,nominalizersocialgroup,1,67
67-numbersingular,maltese,numbersingular,3,67
68-relativizersubordinator,kharia,relativizersubordinator,2,68
70-subjectobjectindexing,ingrianfinnish,subjectobjectindexing,2,70
72-diminutive,malagasy,diminutive,1,72
72-verbaltam,malagasy,verbaltam,1,72
73-nominalizermiscellaneous,malagasy,nominalizermiscellaneous,1,73
73-nominalizersocialgroup,malagasy,nominalizersocialgroup,1,73
73-valencypassive,malagasy,valencypassive,1,73
73-verbaltam,malagasy,verbaltam,1,73
75-numberplural,protowayampiemerillonzoe,numberplural,1,75
77-nominalderivationmiscellaneous,hawaiian,nominalderivationmiscellaneous,1,77
