name,iso,glottocode,latitude,longitude
Udi,udi,udii1243,40.9,47.7236
Upper Chinook,wac,wasc1239,45.0278,-121.509
Uru,ure,uruu1244,-16.72547,-68.97119
Uzbek,uzn,nort2690,40.886,69.211
Vietnamese,vie,viet1252,20.681188,105.774071
Visayan,ceb,cebu1242,8.38799,124.367
Warndarang,wnd,wand1263,-14.2996,135.705
Welsh,cym,wels1247,52.0,-4.0
Western Neo-Aramaic of Ma’lūla,amw,west2763,33.8162,36.484
Wutun,wuh,wutu1241,35.269,101.957
Yiddish,ydd,east2295,51.75,19.42
Yucatec Maya,yua,yuca1254,18.7757,-88.9567
Yucuna and Cabiyarí,ycn,nucl1764,0.45004781836065966,-70.29323417808021
Zamucoan,ayo,ayor1240,-19.220055,-60.217495
Zoquean languages,zoc,copa1236,17.2157,-93.3183
